Country,Total_Flights_2024
Albania,68577
Armenia,38895
Austria,316723
Belgium,310553
Bosnia and Herzegovina,16455
Bulgaria,64982
Croatia,49952
Cyprus,93534
Czech Republic,149007
Denmark,240676
Estonia,40526
Finland,153150
France,1707533
Georgia,44877
Germany,1660443
Greece,593238
Hungary,126030
Iceland,65485
Ireland,303365
Israel,108541
Italy,1332148
Latvia,63634
Lithuania,59503
Luxembourg,71924
Malta,66983
Moldova,32363
Montenegro,15645
Morocco,226936
Netherlands,532865
Norway,667131
Poland,476894
Portugal,481963
Republic of North Macedonia,23376
Romania,124627
Serbia,86464
Slovakia,20847
Slovenia,25154
Spain,2283157
Sweden,272257
Switzerland,439684
Turkey,1154225
United Kingdom,1985592
